Index;Country or area;Country code;Capital City;Note;Capital Type;City code;Latitude;Longitude;Population
1;Afghanistan;4;Kabul;;Capital;20002;34,5289;69,1725;  4 012
2;Albania;8;Tiranë (Tirana);;Capital;20005;41,3275;19,8189;   476
3;Algeria;12;El Djazaïr  (Algiers);1;Capital;20006;36,7525;3,0420;  2 694
4;American Samoa;16;Pago Pago;;Capital;20047;-14,2781;-170,7025;   49
5;Andorra;20;Andorra la Vella;;Capital;20048;42,5078;1,5211;   23
6;Angola;24;Luanda;2;Capital;20049;-8,8368;13,2343;  7 774
7;Anguilla;660;The Valley;;Capital;22407;18,2170;-63,0578;   1
8;Antigua and Barbuda;28;St. John's;;Capital;20052;17,1172;-61,8457;   21
9;Argentina;32;Buenos Aires;3;Capital;20058;-34,6051;-58,4004;  14 967
10;Armenia;51;Yerevan;;Capital;20140;40,1820;44,5146;  1 080
11;Aruba;533;Oranjestad;;Capital;21954;12,5240;-70,0270;   30
12;Australia;36;Canberra;4;Capital;206175;-35,2835;149,1281;   448
13;Austria;40;Wien (Vienna);;Capital;20107;48,2064;16,3707;  1 901
14;Azerbaijan;31;Baku;5;Capital;20053;40,3777;49,8920;  2 286
15;Bahamas;44;Nassau;;Capital;20108;25,0582;-77,3431;   280
16;Bahrain;48;Al-Manamah (Manama);6;Capital;20109;26,2154;50,5832;   565
17;Bangladesh;50;Dhaka;7;Capital;20119;23,7104;90,4074;  19 578
18;Barbados;52;Bridgetown;;Capital;20141;13,1000;-59,6167;   89
19;Belarus;112;Minsk;5;Capital;20348;53,9000;27,5667;  2 005
20;Belgium;56;Bruxelles-Brussel;8;Capital;20144;50,8467;4,3499;  2 050
21;Belize;84;Belmopan;;Capital;20310;17,2500;-88,7667;   23
22;Benin;204;Cotonou;;Economic Capital;20888;6,3654;2,4183;   685
23;Benin;204;Porto-Novo;;Constitutional Capital;20891;6,4965;2,6036;   285
24;Bermuda;60;Hamilton;;Capital;20150;32,2915;-64,7780;   10
25;Bhutan;64;Thimphu;;Capital;20151;27,4661;89,6419;   203
26;Bolivia (Plurinational State of);68;La Paz;9;Seat of Government;20153;-16,5000;-68,1500;  1 814
27;Bolivia (Plurinational State of);68;Sucre;;Constitutional Capital;20158;-19,0333;-65,2627;   278
28;Bosnia and Herzegovina;70;Sarajevo;10;Capital;20164;43,8486;18,3564;   343
